MSP,LAX,3093
LAX,MSP,3091
CLT,DTW,3090
DTW,CLT,3086
LAS,BUR,3080
IND,ORD,3075
BOS,DFW,3073
DFW,BOS,3070
SAT,DAL,3059
DSM,ORD,3054
MSY,HOU,3052
BUR,LAS,3050
HOU,MSY,3049
MCO,MIA,3034
MIA,MCO,3033
DAL,SAT,3031
MSP,MDW,3027
ORD,IND,3026
MIA,LAX,3024
LAX,MIA,3023
SAN,SJC,3022
SJC,SAN,3021
ORD,GRR,2990
SLC,DFW,2990
CLT,MIA,2983
MIA,CLT,2982
DFW,SLC,2982
MDW,MSP,2979
PHX,ONT,2978
MIA,DCA,2974
DCA,MIA,2973
ONT,PHX,2971
CLT,MCO,2957
MCO,CLT,2957
DEN,AUS,2947
SLC,SFO,2938
DTW,LAS,2933
LAS,DTW,2931
DCA,MDW,2906
PBI,LGA,2905
LGA,PBI,2904
DEN,MCO,2901
TPA,CLT,2899
MDW,DCA,2895
MIA,IAH,2884
IAH,MIA,2883
MCO,DEN,2882
SNA,DFW,2877
DFW,SNA,2877
DAL,ATL,2872
SAT,ATL,2865
ATL,SAT,2864
CLT,TPA,2856
ATL,DAL,2856
BOS,MCO,2852
AUS,DEN,2852
CLE,ATL,2851
ATL,CLE,2850
MCO,BOS,2848
ORD,CID,2843
CLT,PHX,2842
GRR,ORD,2820
MDW,DTW,2815
PHX,CLT,2808
SJC,LAS,2802
DTW,MDW,2798
LAS,SJC,2792
SAN,SMF,2792
SMF,SAN,2791
SJU,FLL,2791
FLL,SJU,2790
LAS,IAH,2788
STL,ORD,2785
IAH,LAS,2769
ORD,GRB,2767
GRB,ORD,2767
SEA,SNA,2762
SNA,SEA,2762
IAH,MSY,2758
DFW,BNA,2751
BNA,DFW,2750
MDW,LAS,2748
ATL,CHA,2740
ATL,SDF,2740
SDF,ATL,2739
LAS,MDW,2722
MDW,DEN,2720
PHX,DTW,2717
DTW,PHX,2715
EWR,MIA,2715
DEN,MDW,2715
MIA,EWR,2714
CHA,ATL,2711
OGG,LAX,2711
OKC,DFW,2711
DFW,OKC,2710
SJC,SNA,2710
FLL,DFW,2709
LAX,OGG,2708
SNA,SJC,2705
CID,ORD,2704
DFW,FLL,2696
DTW,DEN,2694
DAY,ORD,2693
LGA,CLE,2692
DCA,TPA,2686
ATL,CAE,2685
CAE,ATL,2684
TPA,DCA,2684
CLE,LGA,2682
DEN,DTW,2682
MSY,IAH,2681
SAN,ORD,2680
ATL,SEA,2673
ORD,SAN,2673
ORF,ATL,2673
ATL,ORF,2672
SEA,ATL,2672
GSO,ATL,2668
ATL,GSO,2667
MIA,PHL,2663
PHL,MIA,2661
SLC,ORD,2651
DFW,DTW,2648
DTW,DFW,2646
DTW,MSP,2645
MSP,DTW,2645
EWR,DEN,2643
ORD,DAY,2643
IAD,ATL,2636
DTW,MCO,2635
LAX,TUS,2635
MCO,DTW,2634
MSY,DFW,2634
DFW,MSY,2633
TUS,LAX,2633
TUL,DFW,2629
DFW,TUL,2627
GRK,DFW,2626
DFW,GRK,2625
DTW,FLL,2624
FLL,DTW,2624
ATL,IAD,2622
LAX,AUS,2614
MCO,IAH,2613
IAH,MCO,2610
DEN,EWR,2609
EWR,DFW,2604
ORD,SLC,2600
XNA,ORD,2598
ORD,XNA,2597
AUS,LAX,2597
LAS,PDX,2582
MDW,MCO,2581
MCO,MDW,2576
JFK,CLT,2576
MSP,DFW,2575
DFW,MSP,2574
CLT,JFK,2574
DAL,LGA,2571
EWR,PBI,2571
PBI,EWR,2571
PDX,LAS,2566
ORD,STL,2566
LGA,DAL,2563
MCI,DFW,2561
DFW,MCI,2560
JFK,TPA,2552
TPA,JFK,2550
MSP,SEA,2549
SLC,ATL,2549
SEA,MSP,2547
ATL,SLC,2545
MSP,LAS,2545
LAS,MSP,2543
DFW,STL,2538
STL,DFW,2536
FLL,ORD,2534
OAK,PHX,2532
ORD,FLL,2531
DAL,DCA,2521
PVD,BWI,2517
DCA,DAL,2515
SMF,LAS,2513
ATL,BTR,2512
PHX,OAK,2512
BTR,ATL,2511
DCA,CLT,2502
DFW,EWR,2501
TPA,DFW,2500
DFW,TPA,2500
BWI,PVD,2498
LAS,SMF,2489
SNA,OAK,2485
MDW,MCI,2474
DAL,LAX,2473
BNA,LGA,2472
OAK,SNA,2471
GSP,ATL,2471
ATL,GSP,2470
ABQ,PHX,2470
DCA,FLL,2468
ORD,BWI,2468
FLL,DCA,2468
LAX,DAL,2468
BWI,ORD,2466
MCI,MDW,2465
HSV,ATL,2463
ATL,HSV,2463
CLT,PIT,2462
BUF,JFK,2461
JFK,BUF,2461
CLT,DCA,2456
PHX,ABQ,2454
SFO,MSP,2449
PHX,PHL,2449
MSP,SFO,2446
MIA,SJU,2438
SJU,MIA,2436
CLT,FLL,2435
FLL,CLT,2435
ORD,TPA,2434
TPA,ORD,2427
PHL,TPA,2425
BWI,DTW,2418
LAX,MCO,2417
LAS,SNA,2417
MCO,LAX,2414
PIT,CLT,2414
DTW,BWI,2412
SNA,LAS,2412
PHL,PHX,2411
DAL,MSY,2410
MSY,DAL,2408
DEN,BOS,2407
BOS,DEN,2398
DEN,SMF,2398
SMF,DEN,2391
LGA,BNA,2391
TPA,PHL,2382
ATL,CVG,2376
MSP,PHL,2372
CVG,ATL,2372
PHL,MSP,2365
ATL,AGS,2361
AGS,ATL,2360
ATL,BDL,2342
BDL,ATL,2341
SLC,PDX,2341
IAH,LGA,2340
PDX,SLC,2339
DFW,BTR,2335
BTR,DFW,2333
ABI,DFW,2329
DFW,ABI,2327
PHX,JFK,2327
JFK,PHX,2326
BTR,IAH,2321
IAH,BTR,2320
MIA,BOS,2319
BOS,MIA,2317
IAH,SAT,2312
SAT,IAH,2303
LGA,IAH,2298
JAN,ATL,2297
RIC,BOS,2297
ATL,JAN,2297
BOS,RIC,2297
AUS,ORD,2283
LEX,ATL,2280
SHV,DFW,2280
DFW,JAN,2280
ATL,LEX,2280
DFW,SHV,2280
JAN,DFW,2278
MSP,STL,2273
PNS,ATL,2268
ATL,PNS,2268
SAN,SLC,2266
SLC,SAN,2265
FWA,ORD,2265
ORD,FWA,2261
MDW,PHX,2259
PHX,MDW,2256
STL,MSP,2254
ATL,MOB,2254
MOB,ATL,2253
SJC,PDX,2249
PDX,SJC,2248
ORD,AUS,2239
MKE,MSP,2237
MEM,ORD,2231
ORD,MEM,2228
XNA,DFW,2224
DFW,SGF,2222
DFW,XNA,2222
SGF,DFW,2221
MHT,BWI,2221
LGA,MDW,2219
BDL,BWI,2217
IAH,SEA,2216
BWI,MHT,2211
VPS,ATL,2208
ATL,VPS,2207
MSP,MKE,2204
SEA,IAH,2204
MGM,ATL,2202
ATL,MGM,2202
ORD,MCI,2201
BWI,BDL,2199
TUS,DFW,2198
DFW,TUS,2198
ORD,ICT,2190
BOS,FLL,2188
MDW,LGA,2184
FLL,BOS,2184
TPA,BWI,2182
PIA,ORD,2180
IAH,PHL,2178
BWI,TPA,2177
ORD,PIA,2177
PHL,IAH,2176
DTW,EWR,2175
ONT,SFO,2174
SFO,ONT,2174
EWR,DTW,2173
LFT,IAH,2173
SNA,ORD,2167
DAL,MCI,2167
PDX,ORD,2164
ORD,SNA,2164
MCI,DAL,2163
IAH,LFT,2153
ORD,PDX,2149
PHL,LAS,2148
MDW,STL,2147
LAS,PHL,2147
MSP,LGA,2146
PSP,SFO,2145
OAK,ONT,2144
LGA,MSP,2144
PHL,DEN,2142
ORD,RIC,2141
CRP,IAH,2140
SFO,PSP,2140
IAH,CRP,2135
TPA,DTW,2134
DTW,TPA,2133
SJC,BUR,2133
MCI,ORD,2132
SNA,SMF,2132
DEN,PHL,2131
MSP,CLT,2130
CLT,MSP,2129
RDU,CLT,2128
STL,PHX,2128
ONT,OAK,2127
CLT,RDU,2127
STL,MDW,2127
MCI,DEN,2124
DEN,SJC,2122
PHX,STL,2121
STL,DAL,2120
BUR,SJC,2120
SMF,SNA,2118
OAK,SLC,2116
TUL,ORD,2110
EWR,TPA,2110
ATL,TLH,2106
PHX,EWR,2106
TLH,ATL,2106
SLC,OAK,2105
DAL,STL,2104
EWR,PHX,2103
BUR,SMF,2102
DFW,CVG,2102
SJC,DEN,2102
DEN,MCI,2101
TPA,EWR,2101
FAR,ORD,2101
ORD,FAR,2100
MDW,BNA,2100
ORD,TYS,2099
SFO,SBA,2098
ICT,ORD,2097
SBA,SFO,2097
CVG,DFW,2097
SEA,JFK,2096
JFK,SEA,2094
TYS,ORD,2092
SMF,BUR,2092
SFO,PHL,2090
GNV,ATL,2089
RIC,ORD,2088
COS,DEN,2088
ATL,GNV,2088
HOU,MDW,2087
JAX,CLT,2085
CLT,JAX,2085
BNA,MDW,2084
OMA,DEN,2083
AUS,IAH,2079
MDW,HOU,2077
DEN,BNA,2074
PHL,SFO,2072
ORD,TUL,2071
MAF,IAH,2068
SFO,HNL,2067
HNL,SFO,2065
DEN,COS,2064
IAH,MAF,2064
AUS,SFO,2051
BNA,DTW,2047
ATL,SAN,2047
SAN,ATL,2045
SMF,ONT,2044
ATL,CAK,2043
ORD,FSD,2042
IAH,SLC,2042
CAK,ATL,2042
DEN,OMA,2041
LIT,ORD,2039
DCA,IAH,2039
IAH,DCA,2037
DEN,MKE,2037
ORD,OMA,2036
IAH,AUS,2035
SFO,AUS,2034
SGF,ORD,2034
IAH,SAN,2033
ATL,SHV,2032
SHV,ATL,2032
MCO,PVD,2032
ORD,LIT,2031
ONT,SMF,2024
PVD,MCO,2023
FSD,ORD,2023
ATL,ECP,2021
ECP,ATL,2020
BOS,IAD,2020
IAD,BOS,2019
LAX,FAT,2017
LEX,ORD,2015
ORD,LEX,2014
DTW,IAH,2010
MKE,DEN,2009
BUF,ORD,2008
BNA,DEN,2008
ORD,BUF,2005
OMA,ORD,2004
LAX,DTW,2003
DTW,LAX,2003
SLC,IAH,2000
PHL,DTW,1999
TPA,MIA,1998
MIA,TPA,1998
ORD,SGF,1997
DTW,BNA,1994
MDW,DAL,1991
DTW,PHL,1989
DAL,MDW,1980
MDW,BWI,1977
BWI,MDW,1976
ATL,LIT,1976
LIT,ATL,1976
OKC,ATL,1976
ATL,OKC,1974
LAX,CLT,1959
CLT,LAX,1958
IAH,MFE,1957
MFE,IAH,1957
LGA,RDU,1957
JAN,IAH,1953
LGB,SLC,1952
BWI,RDU,1952
SLC,LGB,1952
RDU,BWI,1952
RDU,ORD,1950
EWR,BNA,1948
DEN,BOI,1947
TPA,LGA,1947
LGA,TPA,1945
IAH,JAN,1943
ORD,IAD,1940
SRQ,ATL,1930
ATL,SRQ,1930
FLL,TPA,1929
ATL,TRI,1929
TRI,ATL,1928
BOI,DEN,1922
ORD,PIT,1921
IAH,DTW,1918
FLL,PHL,1915
LAX,RNO,1913
JFK,PBI,1913
JFK,ATL,1913
ATL,JFK,1910
PBI,JFK,1910
PHL,FLL,1907
MCI,MSP,1904
BWI,DEN,1904
DEN,CLT,1902
CLT,DEN,1902
RNO,LAX,1901
TPA,FLL,1899
DEN,BWI,1899
MSP,MCI,1897
BWI,BNA,1897
DTW,SEA,1894
ORD,RDU,1894
BUR,PHX,1893
MDW,PHL,1892
PHL,MDW,1892
DEN,IND,1892
SEA,DTW,1892
LAX,PHL,1886
PHL,LAX,1886
PHX,BUR,1884
BNA,BWI,1883
TUS,DEN,1879
ATL,HPN,1879
PHX,YUM,1878
RDU,LGA,1878
HPN,ATL,1877
YUM,PHX,1877
STL,DEN,1875
STL,EWR,1864
LAX,MDW,1864
SFO,EUG,1864
EUG,SFO,1863
DEN,TUS,1861
FNT,ORD,1860
LAX,MSY,1859
ORD,FNT,1859
MDW,LAX,1858
ATL,AVL,1858
AVL,ATL,1856
SLC,MSP,1854
BNA,EWR,1853
SEA,PDX,1851
MSP,SLC,1850
MSY,LAX,1850
IND,DEN,1849
FLL,IAH,1849
PDX,SEA,1849
IAH,FLL,1848
DEN,STL,1842
ORD,OKC,1841
CMH,MDW,1840
SLC,JFK,1839
JFK,SLC,1839
LAX,ABQ,1837
PDX,DFW,1834
ABQ,LAX,1834
DFW,PDX,1832
BOS,CLE,1831
MCI,PHX,1827
RSW,ORD,1827
ORD,RSW,1827
PHX,MCI,1825
CLE,MDW,1823
EWR,MDW,1822
MDW,CMH,1821
BOS,MSP,1821
CLT,SFO,1819
CLE,BOS,1819
SFO,CLT,1818
MSP,BOS,1817
MDW,CLE,1813
BUF,BWI,1808
OKC,ORD,1807
EWR,STL,1806
IAH,TUL,1805
MDW,EWR,1804
DEN,OKC,1804
BWI,BUF,1803
ORD,HPN,1800
TUL,IAH,1800
HPN,ORD,1799
ABQ,DFW,1797
DFW,ABQ,1796
PDX,OAK,1793
PIT,ORD,1785
TVC,ORD,1784
CMI,ORD,1784
LIT,IAH,1784
ORD,TVC,1784
ORD,CMI,1783
OAK,PDX,1779
TPA,IAH,1778
PIT,MDW,1777
DFW,BWI,1774
BWI,DFW,1773
HOU,DEN,1773
IAH,LIT,1772
IAH,TPA,1767
DEN,HOU,1762
MDW,PIT,1761
DFW,VPS,1760
VPS,DFW,1759
OKC,DEN,1754
FLL,LAX,1752
MSP,IAH,1747
LAX,FLL,1747
IAD,ORD,1745
HNL,SEA,1744
SEA,HNL,1744
EVV,ORD,1737
ORD,EVV,1736
IAH,MEM,1733
MKE,DTW,1730
DTW,MKE,1730
LAS,EWR,1728
DEN,SAT,1727
CLT,RSW,1726
RSW,CLT,1726
RNO,PHX,1723
PHX,PSP,1722
PSP,PHX,1722
ATL,TYS,1719
MSP,FAR,1718
PHX,RNO,1718
TYS,ATL,1718
BWI,LAS,1716
FAR,MSP,1715
DCA,DTW,1713
LAS,BWI,1713
SAN,JFK,1712
SAT,DEN,1711
JFK,SAN,1710
EWR,LAS,1707
DTW,DCA,1705
BWI,ALB,1704
SAN,IAH,1701
ALB,BWI,1701
MCI,IAH,1698
MDW,OMA,1693
FAT,LAX,1693
SAN,PDX,1692
PDX,SAN,1691
MEM,IAH,1691
ROC,ORD,1679
SJC,SLC,1678
BOS,IAH,1678
OMA,MDW,1677
IAH,BOS,1675
MCO,BDL,1672
IAH,MSP,1672
SLC,SJC,1671
BDL,MCO,1667
IAD,MCO,1666
FLG,PHX,1660
DEN,ABQ,1660
PHX,FLG,1660
MCO,IAD,1658
ORD,ROC,1656
MSP,DCA,1655
DCA,MSP,1654
LAX,BNA,1642
ORD,SYR,1641
BNA,LAX,1637
LGA,STL,1636
STL,LGA,1636
RSW,BOS,1634
ATL,FAY,1634
BOS,RSW,1634
FAY,ATL,1633
IAH,MCI,1628
SJT,DFW,1628
DFW,SJT,1628
DFW,TYS,1626
SMF,SFO,1624
TYS,DFW,1624
SYR,ORD,1623
SFO,SMF,1623
CLT,BDL,1621
BDL,CLT,1621
LFT,DFW,1617
CLT,PBI,1617
DFW,LFT,1616
PBI,CLT,1616
ATL,OMA,1615
MLI,ORD,1615
RSW,DTW,1614
RNO,SFO,1613
DTW,RSW,1613
ORD,MLI,1612
ACT,DFW,1612
ATL,ILM,1612
ILM,ATL,1612
TYR,DFW,1612
MCI,LAS,1611
DFW,RDU,1611
DFW,ACT,1611
DFW,TYR,1611
RDU,DFW,1611
LAS,MCI,1608
BOS,PBI,1606
PBI,BOS,1606
SFO,RNO,1606
DFW,CLL,1604
CLL,DFW,1604
BWI,PHX,1603
PHX,BWI,1603
PDX,SMF,1597
