Days,PANDEM2 Outputs.confirmed cases,Hospital.total in hospital,Hospital.hospital admissions,Hospital.hospital discharges,Hospital.ICU admissions,Hospital.ICU discharges,Hospital.deaths in hospital,Hospital Resources.Beds,Hospital Resources.occupied ward beds,Hospital.physical ward beds available,Hospital.expected beds freed,Hospital.Patients Waiting for Ward Bed,Hospital.In Ward Overflow,Hospital.physical ward beds needed,Hospital.physical ward beds gap,Hospital Resources.max available nurses,Hospital Resources.Absent Nurses,Hospital Resources.Nurses,Hospital Resources.occupied nurses,Hospital Resources.available nurses,Hospital Resources.expected nurses freed,Hospital Resources.total nurses needed for incoming patients,Hospital Resources.nurses gap,Hospital Resources.extra staff needed for overflow patients,Hospital Resources.staffed ward beds available,Hospital Resources.staffed ward beds needed,Hospital Resources.staffed ward beds gap,Hospital.ward admissions,Hospital.moving to ward overflow,Hospital Resources.ICU Beds,Hospital Resources.occupied ICU beds,Hospital.physical ICU beds available,Hospital.expected ICU beds freed,Hospital.Patients Waiting for ICU,Hospital.In ICU Overflow,Hospital.physical ICU beds needed,Hospital.physical ICU beds gap,Hospital Resources.max available ICU nurses,Hospital Resources.Absent ICU Nurses,Hospital Resources.ICU Nurses,Hospital Resources.occupied ICU nurses,Hospital Resources.available ICU nurses,Hospital Resources.expected ICU nurses freed,Hospital Resources.total ICU nurses needed for incoming patients,Hospital Resources.ICU nurses gap,Ventilators.ventilators in stock,Ventilators.ventilators in use,Ventilators.ventilators available,Ventilators.expected ventilators freed,Ventilators.ventilators needed for incoming ICU patients,Ventilators.gap in ventilators,Hospital Resources.staffed equipped ICU beds available,Hospital Resources.staffed equipped ICU beds needed,Hospital Resources.staffed equipped ICU beds gap,Hospital.moving to ICU overflow,Hospital.at risk of dying from lack of ICU,PPE.PPE,PPE.PPE needed,PPE.PPE gap,PPE.total PPE used,PPE.interrupted PPE supply,Hospital.Total needed ICU,Hospital.Total ICU admissions,Hospital.Total needed Ward Bed,Hospital.Total Ward admissions,Hospital.Potential deaths due to lack of ICU,Hospital.total deaths,Hospital.peak ICU demand,Hospital.peak demand ICU beds,Hospital.peak demand ICU nurses,Hospital.peak demand ventilators,Hospital.peak ward demand,Hospital.peak demand ward beds,Hospital.peak demand nurses,Hospital.peak demand PPE,Hospital Resources.activate surge strategy 1,Hospital Resources.activate surge strategy 2,PPE.activate surge strategy 3,Hospital Resources.activate surge strategy 4
31,115.3108242,12.21292484,5.137468152,1.743190946,0.374132139,0.055993914,0.108756313,10000,7.301323335,9992.698677,0.930128248,3.305603247,0,3.305603247,0,2500,0.004679555,2499.99532,1.460264667,2498.535056,0.18602565,0.661120649,0,0,9992.698677,3.305603247,0,3.305603247,0,4000,1.231866115,3998.768134,0.059259543,0.374132139,0,0.374132139,0,2000,0.003743644,1999.996256,0.615933058,1999.380323,0.029629771,0.187066069,0,2000,0.689845025,1999.310155,0.033185344,0.209513998,0,3570.255965,0.374132139,0,0,0,50045.76062,14.62192222,0,69.28069283,0,2.170061673,1.795929534,19.54511307,16.23950983,0,0.50852369,1.465839367,1.465839367,0.732919684,0.820870046,8.639266171,8.639266171,1.727853234,12.30386459,0,0,0,0
32,139.9909942,14.89004607,6.217592795,2.127470583,0.455132021,0.068583359,0.133018861,10000,8.910871552,9991.089128,1.140934884,4.015208601,0,4.015208601,0,2500,0.005733784,2499.994266,1.78217431,2498.212092,0.228186977,0.80304172,0,0,9991.089128,4.015208601,0,4.015208601,0,4000,1.508833891,3998.491166,0.07294719,0.455132021,0,0.455132021,0,2000,0.004587028,1999.995413,0.754416946,1999.240996,0.036473595,0.227566011,0,2000,0.844946979,1999.155053,0.040850426,0.254873932,0,3569.992685,0.455132021,0,0,0,50029.83389,17.83599493,0,85.35903461,0,2.661918291,2.206786269,23.9438451,19.9286365,0,0.628268328,1.792563273,1.792563273,0.896281636,1.003835433,10.52657495,10.52657495,2.105314991,15.00798314,0,0,0,0
33,169.5883536,18.11591007,7.508446304,2.591024989,0.552491729,0.08383169,0.162358904,10000,10.85246069,9989.147539,1.396674712,4.866660483,0,4.866660483,0,2500,0.007011218,2499.992989,2.170492138,2497.822497,0.279334942,0.973332097,0,0,9989.147539,4.866660483,0,4.866660483,0,4000,1.844297174,3998.155703,0.089615188,0.552491729,0,0.552491729,0,2000,0.005608975,1999.994391,0.922148587,1999.072242,0.044807594,0.276245865,0,2000,1.032806417,1998.967194,0.050184506,0.309395368,0,3569.673889,0.552491729,0,0,0,50010.34947,21.71109343,0,104.9517131,0,3.258570641,2.706078912,29.27232196,24.40566147,0,0.77458049,2.187607416,2.187607416,1.093803708,1.225060153,12.79913731,12.79913731,2.559827462,18.26815585,0,0,0,0
34,204.9996831,21.99412662,9.047498225,3.148931608,0.669245005,0.102259732,0.197759842,10000,13.18924234,9986.810758,1.706238837,5.885925165,0,5.885925165,0,2500,0.00855566,2499.991444,2.637848467,2497.353596,0.341247767,1.177185033,0,0,9986.810758,5.885925165,0,5.885925165,0,4000,2.24971411,3997.750286,0.109869341,0.669245005,0,0.669245005,0,2000,0.006844528,1999.993155,1.124857055,1998.868298,0.054934671,0.334622503,0,2000,1.259839902,1998.74016,0.061526831,0.374777203,0,3569.288727,0.669245005,0,0,0,49986.60163,26.37256529,0,128.7768534,0,3.980795284,3.311550279,35.71309468,29.82716952,0,0.952985319,2.664197846,2.664197846,1.332098923,1.491950794,15.52931484,15.52931484,3.105862967,22.18980945,0,0,0,0
35,247.2676928,26.64593241,10.87812007,3.81885503,0.808929952,0.12448114,0.240377866,10000,15.99520431,9984.004796,2.080121092,7.103213065,0,7.103213065,0,2500,0.010418732,2499.989581,3.199040863,2496.79054,0.416024218,1.420642613,0,0,9984.004796,7.103213065,0,7.103213065,0,4000,2.738585081,3997.261415,0.134428442,0.808929952,0,0.808929952,0,2000,0.008334986,1999.991665,1.369292541,1998.622372,0.067214221,0.404464976,0,2000,1.533607645,1998.466392,0.075279927,0.453000773,0,3568.824415,0.808929952,0,0,0,49957.74594,31.96720496,0,157.6877317,0,4.853137637,4.044207685,43.48143079,36.37821772,0,1.170070274,3.237884574,3.237884574,1.618942287,1.813215362,18.8016955,18.8016955,3.7603391,26.89640694,0,0,0,0
36,297.6012368,32.21279354,13.05036472,4.621433149,0.9756611,0.151217009,0.291568636,10000,19.35678806,9980.643212,2.530673741,8.553570178,0,8.553570178,0,2500,0.012661105,2499.987339,3.871357612,2496.115981,0.506134748,1.710714036,0,0,9980.643212,8.553570178,0,8.553570178,0,4000,3.326774204,3996.673226,0.164143149,0.9756611,0,0.9756611,0,2000,0.010128884,1999.989871,1.663387102,1998.326484,0.082071575,0.48783055,0,2000,1.862993554,1998.137006,0.091920164,0.546370216,0,3568.26594,0.9756611,0,0,0,49922.77739,38.6664465,0,192.6956879,0,5.904521541,4.928860441,52.83052154,44.27695136,0,1.433670156,3.926900676,3.926900676,1.963450338,2.199064379,22.71488071,22.71488071,4.542976141,32.5321324,0,0,0,0
37,357.3976473,38.85931464,15.62181983,5.58070963,1.174209486,0.183312408,0.35291735,10000,23.37470002,9976.6253,3.072397318,10.27753215,0,10.27753215,0,2500,0.01535389,2499.984646,4.674940004,2495.309706,0.614479464,2.05550643,0,0,9976.6253,10.27753215,0,10.27753215,0,4000,4.032872985,3995.967127,0.200017566,1.174209486,0,1.174209486,0,2000,0.012283112,1999.987717,2.016436492,1997.97128,0.100008783,0.587104743,0,2000,2.258408872,1997.741591,0.112009837,0.657557312,0,3567.595716,1.174209486,0,0,0,49880.50481,46.66993835,0,234.996408,0,7.16894262,5.994733134,64.05738791,53.77985576,0,1.753080375,4.752567163,4.752567163,2.376283581,2.661437611,27.38347929,27.38347929,5.476695858,39.26489719,0,0,0,0
38,428.26727,46.77647585,18.65853619,6.724616025,1.41009118,0.221755,0.426272492,10000,28.16593099,9971.834069,3.722267848,12.32184367,0,12.32184367,0,2500,0.018580207,2499.98142,5.633186199,2494.348234,0.74445357,2.464368735,0,0,9971.834069,12.32184367,0,12.32184367,0,4000,4.878610006,3995.12139,0.243233816,1.41009118,0,1.41009118,0,2000,0.014864166,1999.985136,2.439305003,1997.545831,0.121616908,0.70504559,0,2000,2.732021604,1997.267978,0.136210937,0.789651061,0,3566.793195,1.41009118,0,0,0,49829.52133,56.20952763,0,285.9999715,0,8.686254092,7.276162912,77.50955384,65.18771016,0,2.139301996,5.739747547,5.739747547,2.869873774,3.214258626,32.94032164,32.94032164,6.588064328,47.28969051,0,0,0,0
39,512.0602587,56.18521665,22.23603054,8.085506649,1.689664621,0.267695934,0.513783547,10000,33.86599643,9966.134004,4.500104761,14.74024504,0,14.74024504,0,2500,0.022436943,2499.977563,6.773199287,2493.204364,0.900020952,2.948049008,0,0,9966.134004,14.74024504,0,14.74024504,0,4000,5.889310557,3994.110689,0.29517994,1.689664621,0,1.689664621,0,2000,0.017949554,1999.98205,2.944655278,1997.037395,0.14758997,0.844832311,0,2000,3.298013912,1996.701986,0.165300766,0.946212188,0,3565.834441,1.689664621,0,0,0,49768.17057,67.55367942,0,347.3650839,0,10.50305402,8.813389404,93.5925571,78.85231206,0,2.605322358,6.917355992,6.917355992,3.458677996,3.873719355,39.53890573,39.53890573,7.907781146,56.83229571,0,0,0,0
40,610.8956379,67.34038249,26.44036009,9.7007489,2.020236994,0.322473183,0.617942946,10000,40.631409,9959.368591,5.428982776,17.59432647,0,17.59432647,0,2500,0.027036711,2499.972963,8.126281801,2491.846681,1.085796555,3.518865295,0,0,9959.368591,17.59432647,0,17.59432647,0,4000,7.094410021,3992.90559,0.357481436,2.020236994,0,2.020236994,0,2000,0.021629368,1999.978371,3.547205011,1996.431166,0.178740718,1.010118497,0,2000,3.972869612,1996.02713,0.200189604,1.131332717,0,3564.691643,2.020236994,0,0,0,49694.50795,81.01235302,0,421.037942,0,12.67368318,10.65344619,112.7783683,95.18404186,0,3.166435377,8.318922735,8.318922735,4.159461368,4.658596732,47.35608438,47.35608438,9.471216876,68.15339122,0,0,0,0
